UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,SUBTAGS,COMMENTS
27469517-7d27-40e5-b7dc-a5796c4e67c1,Κρήτης,char-offset:11998,PLACE,http://pleiades.stoa.org/places/589748,Creta (island),35.21984238526285,24.995769875612147,island,VERIFIED,natural feature|island,,
9f2087b7-a177-460f-8d51-93c5fca2ac17,Λακωνικῆς,char-offset:12009,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,37.07624042080912,22.46082645177671,region,VERIFIED,region,,
3a5361da-1df8-454d-bd72-ec5c31470164,"Κύπρος
βύρσῃ τὸ σχῆμα ὁμοία, περίπλους στάδια ˏγ(υκ),  μῆκος δὲ ˏατ",char-offset:12020,EVENT,,,,,,,extent,absolute,
ae35fdf1-c2d7-4bec-9075-00b42e915c65,Κύπρος,char-offset:12020,PLACE,http://pleiades.stoa.org/places/707498,Cyprus (island),35.04136726070336,33.27561106024465,island,VERIFIED,natural feature|island,,
dd0ed9a0-a058-45f5-a143-362738ea3bc6,"ἀπὸ
Πάφου εἰς Ἀλεξάνδρειαν δίαρμα βορέου σταδίων ˏγω",char-offset:12089,EVENT,,,,,,,distance,absolute,
7197f240-08f3-46a3-9c9c-2fb33212ab17,Πάφου,char-offset:12093,PLACE,http://pleiades.stoa.org/places/707596,"(Palai)Paphos|Palaipaphos/Paphos/Palephatus, Kouklia",34.707147,32.573711,settlement,VERIFIED,settlement,,
659c78ca-85c3-43ee-8029-abab4f36247f,Ἀλεξάνδρειαν,char-offset:12103,PLACE,,,,,,NOT_IDENTIFIABLE,settlement,,
30733af6-fdfd-44b1-89e6-fe0019635786,βορέου,char-offset:12123,EVENT,,,,,,,direction,absolute,
60ae980a-5b3f-461b-be04-971812111355,Ῥόδου,char-offset:12143,PLACE,http://pleiades.stoa.org/places/590031,"Rhodos (island)|Rhodos Ins., Rhodos",36.195597,27.964125,island,VERIFIED,natural feature|island,,
1e32213c-aae8-4f7e-b95e-33d8da74e08a,Ῥόδου περίμετρος στάδια ˏατ,char-offset:12143,EVENT,,,,,,,extent,absolute,
856466a6-3913-4a99-a608-49888b2fba1a,Κῶ,char-offset:12172,PLACE,http://pleiades.stoa.org/places/599581,"Kos/Cos (island)|Kos/Cos, Kos",36.844,27.17,island,VERIFIED,natural feature|island,,
bea25411-ced1-4173-972d-0e105a542193,Κῶ περίμετρος στάδια φν,char-offset:12172,EVENT,,,,,,,extent,absolute,
1f829f78-7e0a-401d-97a2-e30db02c8c84,Σάμος,char-offset:12197,PLACE,http://pleiades.stoa.org/places/599926,"Samos (island)|Samos Ins., Samos",37.73,26.84,island,VERIFIED,natural feature|island,,
7fe70623-110a-4d12-9a13-6dcd0fa4e3b1,Σάμος στάδια χλ,char-offset:12197,EVENT,,,,,,,extent,absolute,
396a0910-6941-4723-be5d-4ee0977aba81,"Ἰκαρία δέ ἐστι μακρὰ τραχεῖα, μῆκος σταδίων τ",char-offset:12216,EVENT,,,,,,,extent,absolute,
dccb384f-a172-4f0c-bfe3-f313e6fec994,Ἰκαρία,char-offset:12216,PLACE,http://pleiades.stoa.org/places/599667,Ikaros (island),37.6305806,26.0732143,island,VERIFIED,natural feature|island,,
2b7aab9c-2cb6-4119-b439-74df7b0652d9,Χίου,char-offset:12263,PLACE,http://pleiades.stoa.org/places/550497,"Chios (island)|Chios Ins., Chios",38.414,26.053,island,VERIFIED,natural feature|island,,
ca51a7dc-258f-47e9-9333-bd56f5e6e930,"Χίου περίμετρος
στάδια χξ",char-offset:12263,EVENT,,,,,,,extent,absolute,
0130273a-c34f-45a5-8ff7-96a52629eb07,Λέσβου,char-offset:12290,PLACE,http://pleiades.stoa.org/places/550696,"Lesbos (island)|Lesbos Ins., Lesbos",39.20874,26.10052,island,VERIFIED,natural feature|island,,
d2a09ba0-54b3-429e-ab3c-9f4a88ba2f64,Λέσβου περίμετρος στάδ ˏαρ,char-offset:12290,EVENT,,,,,,,extent,absolute,
