Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
ἕως πόλεως ’Ιλλυγύρεως (ὑπό τῇ Πυρήνῃ οὔσης) στάδια ˏγψμδ,ADP ἕως + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
(διὰ Ἰβηρίας) ἕως Γαδείρων στάδια ˏϛχνδ,ADP ἕως + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
ἀπὸ Μερόης εἰς Ἀλεξάνδρειαν  σταδίων μυρίων,ADP ἀπό + ADP εἰς + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἀπὸ δὲ Ἀλεξανδρείας ἐπὶ Τάναϊν
μυρίων ˏα νϛ",ADP ἀπό + ADP ἐπί + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἀπὸ Ἀλεξανδρείας  εἰς Λίνδον Ῥόδου στάδια ˏδφ,ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ τὸ Θοάντιον (δεξιὸν παραπλέοντι ῾Ρόδον) στάδια υ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ Τῆλον
στάδια ρξ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ Λακτῆρα τῆς Κῴας στάδια ρκ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ Δρέπανον Κῴας
στάδια ρ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ Ἀρκίτιν νῆσον στάδια σλ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ Κορσίας ρ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ Σαμίων
Ἄμπελον στάδια λ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ τὸ Αἰγαῖον Ἄργεννον (διὰ τοῦ Αἰγαίου)
στάδια φ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ τὸ Ἐρυθραῖον Κορυναῖον στάδια σο,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ Φλίον ἄκρον
Χίου στάδια ν",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ Μελανέα ἄκρον Λέσβου στάδια υν,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ Σίγριον
Λέσβου στάδια φ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
εἰς Τένεδον νῆσον στάδια υν,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
εἰς Σίγειον στάδια ρ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ στόμα Πόντου στάδια ˏβφ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
ἐπὶ Κάραμβιν στάδια ˏβω,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
"ἐπὶ στόμα
Μαιώτιδος στάδια ˏβφ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,distance,absolute
