Carte Allacci CXVI 36c,allacci,urn:cts:greekLit:tlg.0090.tlg001.allacci-lat3,urn:cite:agathemerus:tlg0090.tlg001.allacci,urn:cts:greekLit:tlg0090.tlg001.opp-lat6,allacci36c_lat.xml,http://139.18.40.155/items/show/167
"London British Library, Ms. Old Royal 16",c13,urn:cts:greekLit:tlg.0090.tlg001.msc13-lat,urn:cite:agathemerus:tlg0090.tlg001.msc13,,royal16_lat.xml,http://139.18.40.155/items/show/164
"Carte Allacci, XCVII 4",holstenius,urn:cts:greekLit:tlg.0090.tlg001.holstenius-lat,urn:cite:agathemerus:tlg0090.tlg001.holstenius,urn:cts:greekLit:tlg0090.tlg001.opp-lat8,holstenius_lat.xml,http://139.18.40.155/items/show/168
Leiden UV Vossianus Graecus In-Oct. 7,vossius,urn:cts:greekLit:tlg.0090.tlg001.vossius-lat,urn:cite:agathemerus:tlg0090.tlg001.vossius,,vossius_lat.xml,http://139.18.40.155/items/show/165
Parisinus Supplement Grec 1344,miller,urn:cts:greekLit:tlg.0090.tlg001.miller-lat,urn:cite:agathemerus:tlg.0090.tlg001.miller,,miller_lat.xml,http://139.18.40.155/items/show/174
Göttingen Phil. gr. 75,wendelin,urn:cts:greekLit:tlg.0090.tlg001.wendelin-lat,urn:cite:agathemerus:tlg.0090.tlg001.wendelin,pending on the catalog,wendelin_lat.xml,http://139.18.40.155/items/show/91
"Tennulius, Amsterdam 1671",tennulius,urn:cts:greekLit:tlg.0090.tlg001.tennulius-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat4,tennulius_lat.xml,http://139.18.40.155/items/show/175
"Hudson, 1703",hudson,urn:cts:greekLit:tlg.0090.tlg001.hudson-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat10,hudson_lat.xml,http://139.18.40.155/items/show/177
"Gronovius, 1697",gronovius,urn:cts:greekLit:tlg.0090.tlg001.gronovius-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat5,gronovius_lat.xml,http://139.18.40.155/items/show/176
"Hoffmann, 1842",hoffmann,urn:cts:greekLit:tlg.0090.tlg001.hoffmann-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat5,hoffmann_lat.xml,http://139.18.40.155/items/show/179
"Müller, 1861",müller,urn:cts:greekLit:tlg.0090.tlg001.müller-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat1,mueller_lat.xml,http://139.18.40.155/items/show/180
"Diller, 1975 ",diller,urn:cts:greekLit:tlg.0090.tlg001.diller-eng,,urn:cts:greekLit:tlg0090.tlg001.opp-eng1,diller_eng.xml,http://139.18.40.155/items/show/190
,,,,,,
,,,,,,
Indirect tradition: Excerpta collection,Context (source text),Origin (original text),CITE: manuscript as object,CTS: transcription,Notes,
urn:cite:excerpta:J,urn:cts:greekLit:tlg2934.tlg004.kotter ,urn:cts:greekLit:tlg0090.tlg001 ,,,"(John Damascene, Fidei Expositio - Kotter ed. 1973)",
urn:cite:excerpta:J:a,urn:cts:greekLit:tlg2934.tlg004.kotter:22b@ἄνεμοι[1]-22b@ὀνομαζόμενος[1],urn:cts:greekLit:tlg0090.tlg001:2.6-2.7@περιοίκων[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:b,urn:cts:greekLit:tlg2934.tlg004.kotter:24b@ἔθνη[1]-24b@Σάκες[1],urn:cts:greekLit:tlg0090.tlg001:2.7@ἔθνη[1]-2.7@Σάκας[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:b,urn:cts:greekLit:tlg2934.tlg004.kotter:24b@ἔθνη[1]-24b@Σάκες[1],urn:cts:greekLit:tlg0090.tlg001:2.7@ἔθνη[1]-2.7@Σάκας[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis490,urn:cts:greekLit:tlg2934.tlg004.monacensis490,"De Fide orthodoxa, fragment chap. 24b: within an astronomical Miscellany, including Pletho",http://139.18.40.155/items/show/188
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis287,urn:cts:greekLit:tlg2934.tlg004.monacensis287,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/181
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.holkham110,urn:cts:greekLit:tlg2934.tlg004.holkham110,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/182
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.tuebingen03,urn:cts:greekLit:tlg2934.tlg004.tuebingen03,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/183
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.basle04,urn:cts:greekLit:tlg2934.tlg004.basle04,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/184
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.marcianus406,urn:cts:greekLit:tlg2934.tlg004.marcianus406,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/185
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.parisinus1739,urn:cts:greekLit:tlg2934.tlg004.parisinus1739,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/186
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.parisinus2847,urn:cts:greekLit:tlg2934.tlg004.parisinus2847,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/187
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis490,urn:cts:greekLit:tlg2934.tlg004.monacensis490,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/188
,,,,,,
